country_or_area,year,demand,production,exports,imports,geothermal,hydro,solar,tide,wind
Paraguay,2000,5905.79,53482.4,47330.5,0,0,53481.4,0,0,0
Kuwait,2009,46601,53216,0,0,0,0,0,0,0
Austria,1994,49596,53132,9043,8219,0,36729,1,0,0
Bangladesh,2013,49933,53043,0,0,0,894,145,0,4
Malaysia,1996,51361,53000,14,0,0,5139,0,0,0
Philippines,2003,49487,52897,0,0,9822,7886,0,0,0
Portugal,2014,51348,52802,6344,7247,205,16412,627,0,12111
Kazakhstan,1998,50574,52745,3441,7252,0,6141,0,0,0
Egypt,1995,50595,52500,0,0,0,11413,0,0,0
Uzbekistan,2012,49597,52500,12435,12524,0,11210,0,0,0
Chile,2005,53447,52484,0,2152,0,26483,0,0,7
Portugal,2011,53204,52463,3929,6742,210,12115,280,0,9161
Austria,1993,49073,52421,8804,8072,0,37756,1,0,0
United Arab Emirates,2004,50550,52417,0,0,0,0,0,0,0
Uzbekistan,2011,49504,52400,12411,12500,0,10240,0,0,0
Kazakhstan,1997,49511,52000,1,4704,0,6499,0,0,0
Paraguay,1999,5740.24,51960.1,46025.71,0,0,51910.28,0,0,0
Romania,2000,47929,51934,1470,774,0,14778,0,0,0
Paraguay,2004,6635.69,51921.21,44996.59,0.17,0,51920.75,0,0,0
Paraguay,2003,6198.01,51762.11,45172.61,0.01,0,51761.11,0,0,0
Kuwait,2008,45234,51749,0,0,0,0,0,0,0
Uzbekistan,2010,48843,51700,12245,12333,0,10846,0,0,0
Portugal,2013,51728,51672,5324,8100,197,14868,479,0,12014
Kazakhstan,2000,50051,51635,85,3077,0,7531,0,0,0
Austria,1991,48793,51483,7738,8503,0,32745,0,0,0
Indonesia,1991,49885,51452,0,0,1102,10124,0,0,0
Algeria,2011,46540,51224,799,657,0,502,0,0,0
Chile,2004,51580,51208,0,1903,0,21979,0,0,7
Austria,1992,48197,51190,8621,9175,0,36099,0,0,0
Paraguay,2005,7108.81000000001,51156.35,43783.88,2.21,0,51155.7,0,0,0
Uzbekistan,2006,47943,50920,11903,11817,0,9160,0,0,0
Uzbekistan,1992,47474,50911,16404,15914,0,6281,0,0,0
Argentina,1990,50403,50907,54,890,0,18133,0,0,0
Paraguay,1998,5407.44,50873.74,45207.7,0,0,50824.04,0,0,0
Paraguay,1997,5086,50855,45525,0,0,50805,0,0,0
Bulgaria,2011,34055,50797,12110,1449,0,3691,101,0,861
Romania,1999,45383,50710,1930,1103,0,18290,0,0,0
Pakistan,1994,48920,50640,0,0,0,19436,0,0,0
Israel,2006,44536,50558,1844,0,0,15,0,0,10
Greece,2014,55334,50474,642,9461,0,4607,3792,0,3689
Colombia,2005,47687.83,50411.59,1757.87,16.02,0,39803.11,0,0,49.48
Austria,1990,46489,50294,7298,6839,0,32507,0,0,0
Colombia,2004,47624,50228,1682,48,0,40056,0,0,52
Portugal,2009,52565,50207,2822,7598,184,9009,160,0,7577
Thailand,1991,49124,50186,40,595,1,4587,0,0,0
Uzbekistan,2004,47078,50000,11688,11604,0,9010,0,0,0
Uzbekistan,2009,47190,49950,11831,11916,0,9330,0,0,0
Greece,1999,45619,49632,1647,1811,0,4829,0,0,162
Egypt,1994,47650,49500,0,0,0,10737,0,0,0
United Arab Emirates,2003,47800.5,49450,0,0,0,0,0,0,0
Uzbekistan,2003,46513,49400,11548,11465,0,7620,0,0,0
Uzbekistan,2008,46512,49400,11547,11464,0,11360,0,0,0
Singapore,2014,47310,49310,0,0,0,0,0,0,0
Uzbekistan,2002,46428,49310,11527,11444,0,6186,0,0,0
Uzbekistan,2005,46324,49200,11501,11418,0,8630,0,0,0
Uzbekistan,1993,46040,49149,15621,15214,0,7358,0,0,0
Portugal,2006,52231,49041,3183,8624,85,11467,5,0,2925
Uzbekistan,2007,46089,48950,11442,11360,0,6400,0,0,0
Iraq,2010,53220,48909,0,6722,0,4767,0,0,0
Indonesia,1990,47225,48897,0,0,1125,10240,0,0,0
Kuwait,2007,42584,48753,0,0,0,0,0,0,0
Pakistan,1993,47265,48751,0,0,0,21112,0,0,0
Israel,2005,42835,48602,1667,0,0,28,0,0,11
Bangladesh,2012,45648,48562,0,0,0,777,0,0,0
Egypt,1993,46713,48510,0,0,0,10486,0,0,0
Philippines,2002,44611,48484,0,0,10242,7050,0,0,0
Paraguay,2002,6201.29,48203.7,41765.22,0.02,0,48202.7,0,0,0
Singapore,2013,45957.194444,47964.4444444444,0,0,0,0,0,0,0
Uzbekistan,1994,44770,47800,15200,14800,0,7156,0,0,0
Colombia,2003,45776,47682,1182,69,0,36216,0,0,0
Kuwait,2006,41572,47607,0,0,0,0,0,0,0
Uzbekistan,2001,45265,47500,12959,13453,0,5959,0,0,0
Kazakhstan,1999,46280,47498,85,3077,0,6132,0,0,0
Bulgaria,2014,32958,47485,13774,4319,0,5163,1252,0,1331
Uzbekistan,1995,43354,47453,14199,12909,0,6188,0,0,0
Bulgaria,2012,33454,47329,10661,2353,0,3976,814,0,1221
Israel,2004,41668,47279,1459,0,0,28,0,0,11
Portugal,2007,52856,47253,2153,9641,201,10449,24,0,4037
Philippines,2001,44863,47059,0,0,10442,7121,0,0,0
Israel,2003,41413,47041,1470,0,0,31,0,0,12
Singapore,2012,45661,46971.25,0,0,0,0,0,0,0
Uzbekistan,2000,45407,46864,12745,14026,0,5879,0,0,0
United Arab Emirates,2002,45298,46856,0,0,0,0,0,0,0
Portugal,2003,47684,46852,3104,5898,90,16054,3,0,496
Chile,2003,47728,46829,0,1950,0,21674,0,0,7
Malaysia,1995,45083,46656,25,2,0,6166,0,0,0
Bulgaria,2010,32829,46653,9613,1167,0,5693,15,0,681
Portugal,2012,51817,46614,2871,10766,146,6660,393,0,10259
Portugal,2005,51240,46575,2802,9626,71,5118,3,0,1773
Portugal,2001,44598,46509,3502,3741,105,14375,1,0,256
Syrian Arab Republic,2010,40757,46413,1043,690,0,2592,0,0,0
Colombia,1997,45809,46378,0,199,0,31727,0,0,0
Greece,1998,44152,46329,890,2500,0,3866,0,0,70
Viet Nam,2004,45802,46209,0,0,0,17818,0,0,0
Denmark,2003,35192,46186,15568,7023,0,21,2,0,5561
Portugal,2002,45619,46107,3430,5329,96,8257,2,0,362
Iraq,2009,49215,46065,0,5604,0,3228,0,0,0
Uzbekistan,1997,44301,46054,11489,12418,0,5777,0,0,0
Iraq,2012,54815,46018,0,10170,0,4392,0,0,0
Singapore,2011,44642,46000.138889,0,0,0,0,0,0,0
Portugal,2008,53371,45969,1313,10744,192,7296,38,0,5757
Colombia,1998,45102,45960,64,85,0,30782,0,0,0
Uzbekistan,1998,44289,45900,11302,12362,0,5758,0,0,0
Bulgaria,2006,33389,45843,8882,1139,0,4579,0,0,20
Algeria,2010,43162,45734,803,736,0,174,0,0,0
Denmark,2006,36228,45611,13702,6767,0,23,2,0,6108
Peru,2014,44708,45508,0,0,0,22171,199,0,256
Israel,2002,39986,45500,1387,0,0,21,0,0,11
Pakistan,1992,43962,45466,0,0,0,18647,0,0,0
Uzbekistan,1996,43849,45418,12826,13918,0,6525,0,0,0
Singapore,2010,43956,45360.5,0,0,0,0,0,0,0
Philippines,2000,42937,45327,0,0,11626,7816,0,0,0
Paraguay,2001,5957.54,45309,39129.07,0.01,0,45308,0,0,0
Uzbekistan,1999,43847,45300,11114,12305,0,5683,0,0,0
Colombia,1995,44768,45246,0,370,0,32202,0,0,0
Colombia,2002,43758,45242,618,8,0,33968,0,0,0
Egypt,1992,43850,45110,0,0,0,8540,0,0,0
Portugal,2004,49555,45105,2131,8612,84,10147,3,0,816
Bulgaria,2008,34640,45037,8441,3097,0,3277,0,0,122
New Zealand,2010,43457,44876,0,0,5882,24716,0,0,1634
Colombia,1996,44327,44866,0,164,0,35533,0,0,0
Paraguay,1996,4610,44818,40025,0,0,44772,0,0,0
Egypt,1991,43292,44532,0,0,0,8631,0,0,0
New Zealand,2011,43108,44465,0,0,6120,25114,0,0,1952
Bulgaria,2005,32156,44365,8380,799,0,4730,0,0,5
Denmark,1997,34621,44315,11048,3796,0,19,0,0,1934
New Zealand,2012,42806,44260,0,0,6194,22901,5,0,2076
Thailand,1990,45008,44175,31,652,1,4976,0,0,0
Bangladesh,2011,41504,44153,0,0,0,872,0,0,0
Colombia,1999,43405,44139,27,33,0,33741,0,0,0
Bulgaria,2001,32045,43969,8017,1092,0,2172,0,0,0
Israel,2001,39065,43951,1399,0,0,10,0,0,10
Colombia,2000,43232,43943,37,77,0,32074,0,0,0
New Zealand,2008,42306,43838,0,0,4204,22336,0,0,1058
Bulgaria,2013,32592,43784,9532,3351,0,4795,1361,0,1374
Portugal,2000,42588,43764,3767,4698,80,11715,1,0,168
New Zealand,2007,42285,43749,0,0,3555,23638,0,0,930
Kuwait,2005,37906,43734,0,0,0,0,0,0,0
Colombia,2001,42673,43684,210,40,0,31798,0,0,0
Chile,2002,44058,43671,0,1813,0,22265,0,0,7
New Zealand,2006,42123,43602,0,0,3368,23571,0,0,622
New Zealand,2014,42239,43553,0,0,7258,24336,16,0,2214
Greece,1997,42146,43506,709,3003,0,4096,0,0,36
New Zealand,2009,42080,43453,0,0,4865,24221,0,0,1476
Peru,2013,42741.1,43330.1,0,0,0,22319.6,196.9,0,1.2
Syrian Arab Republic,2009,38288,43308,614,542,0,1866,0,0,0
Bulgaria,2007,34046,43297,7533,3058,0,3234,0,0,47
Portugal,1999,40389,43287,4488,3628,80,7631,1,0,123
New Zealand,2013,41882,43265,0,0,6416,23044,7,0,2024
United Arab Emirates,2001,41609.4,43172,0,0,0,0,0,0,0
Colombia,1994,42615,43040,0,280,0,32111,0,0,0
New Zealand,2005,41515,42968,0,0,3159,23325,0,0,614
Bulgaria,2009,32829,42964,7735,2662,0,4053,3,0,237
Bulgaria,1996,37985,42716,2252,1803,0,2919,0,0,0
Bulgaria,2002,31588,42679,8335,2040,0,2704,0,0,0
Israel,2000,39111,42661,1457,0,0,31,0,0,0
Bulgaria,2003,32504,42600,6772,1283,0,3301,0,0,0
Greece,1996,40424,42567,1314,2664,0,4504,0,0,38
Chile,2001,43065,42531,0,1386,0,21003,0,0,7
New Zealand,2004,41264,42505,0,0,2789,26926,0,0,361
Bulgaria,1997,33974,42312,4335,785,0,2936,0,0,0
Bulgaria,1990,42695,42141,1596,5387,0,1878,0,0,0
Syrian Arab Republic,2011,36933,42025,1192,902,0,3283,0,0,0
Singapore,2009,40476,41814.5,0,0,0,0,0,0,0
Bulgaria,1995,37192,41789,2121,1961,0,2314,0,0,0
Bulgaria,1998,33251,41711,4211,564,0,3328,0,0,0
Singapore,2008,40414,41664.6944446667,1,0,0,0,0,0,0
Bulgaria,2004,31378,41621,6620,741,0,3363,0,0,1
Greece,1995,38817,41552,593,1390,0,3782,0,0,34
Philippines,1999,39793,41328,0,0,10594,7857,0,0,0
Kuwait,2004,35632,41256,0,0,0,0,0,0,0
Singapore,2007,40031,41134,3,0,0,0,0,0,0
Denmark,1998,34899,41113,7600,3280,0,27,0,0,2820
Pakistan,1991,39688,41042,0,0,0,18303,0,0,0
Syrian Arab Republic,2008,36294,41023,590,548,0,2869,0,0,0
Bulgaria,2000,31629,40925,5584,964,0,2952,0,0,0
Viet Nam,2003,40107,40925,0,0,0,18986,0,0,0
Bangladesh,2010,38343,40790,0,0,0,729,0,0,0
New Zealand,2003,39454,40777,0,0,2750,23620,0,0,146
New Zealand,2002,39386,40629,0,0,2814,24870,0,0,155
Greece,1994,37414,40624,434,816,0,2842,0,0,37
Denmark,1994,33408,40578,6621,1781,0,33,0,0,1137
Denmark,2004,35508,40436,11545,8673,0,27,2,0,6583
Serbia and Montenegro,1997,37701,40312,9,0,0,11171,0,0,0
Algeria,2008,37827,40236,323,274,0,283,0,0,0
Colombia,1993,39726,40221,0,303,0,27898,0,0,0
Chile,2000,40064,40078,0,1190,0,18516,0,0,0
Malaysia,1994,38704,40058,151,197,0,6521,0,0,0
Peru,2012,39483,40043.9,2,5,0,22031.9,59.7,0,1.2
Hungary,2008,41286,40025,8871,12774,0,213,1,0,205
Hungary,2007,41206,39960,10694,14680,0,210,0,0,110
United Arab Emirates,2000,37947,39944,0,0,0,0,0,0,0
Serbia,2013,33626,39877,6614,4077,0,10853,0,0,0
Paraguay,1995,4336,39855,35369,0,0,39712,0,0,0
"China, Hong Kong SAR",2014,48865,39803,1226,10288,0,0,0,0,0
Kuwait,2003,34311,39802,0,0,0,0,0,0,0
New Zealand,2001,38219,39572,0,0,2838,21679,0,0,139
Singapore,2006,38346,39442,8,0,0,0,0,0,0
Egypt,1990,38179,39425,0,0,0,9975,0,0,0
Denmark,2007,36382,39316,11377,10427,0,28,2,0,7171
Denmark,2002,35249,39287,11010,8939,0,32,1,0,4877
New Zealand,2000,38070,39247,0,0,2922,24433,0,0,120
Israel,1999,35978,39215,1272,0,0,33,0,0,0
"China, Hong Kong SAR",2013,47382,39063,1650,9969,0,0,0,0,0
"China, Hong Kong SAR",2011,46804,39026,2957,10735,0,0,0,0,0
Portugal,1998,37652,38984,3700,3974,58,13054,1,0,89
"China, Hong Kong SAR",2007,45872,38948,4035,10959,0,0,0,0,0
Denmark,1999,34719,38920,7276,4963,0,31,1,0,3029
Bulgaria,1991,36835,38917,959,3083,0,2441,0,0,0
Denmark,2010,35696,38862,11734,10599,0,21,6,0,7809
Peru,2011,38259.1,38810.7,0,6,0,21561.6,0,0,1.2
"China, Hong Kong SAR",2012,48070,38752,1838,11156,0,0,0,0,0
"China, Hong Kong SAR",2009,45960,38728,3731,10963,0,0,0,0,0
Qatar,2014,36124,38692,0,0,0,0,0,0,0
Syrian Arab Republic,2007,34632,38642,991,1396,0,3478,0,0,0
"China, Hong Kong SAR",2006,44982,38613,4528,10897,0,0,0,0,0
Serbia,2011,34655,38600,6979,6701,0,9243,0,0,0
Algeria,2009,36336,38501,362,330,0,306,0,0,0
"China, Hong Kong SAR",2005,44951,38448,4498,11001,0,0,0,0,0
Philippines,1998,36814,38404,0,0,8914,5100,0,0,0
Greece,1993,35631,38396,284,1093,0,2541,0,0,47
Chile,1999,37280,38390,0,114,0,13590,0,0,0
Serbia,2009,33441,38322,6609,5184,0,11144,0,0,0
"China, Hong Kong SAR",2010,46194,38292,2609,10511,0,0,0,0,0
Bulgaria,1999,31804,38250,3627,1670,0,2984,0,0,0
Singapore,2005,36684,38213,0,0,0,0,0,0,0
Bulgaria,1994,33899,38133,1245,1173,0,1468,0,0,0
Serbia,2010,34355,38103,5917,5620,0,12571,0,0,0
Serbia and Montenegro,1996,35634,38093,18,19,0,11501,0,0,0
Bulgaria,1993,33976,37997,1520,1630,0,1942,0,0,0
"China, Hong Kong SAR",2008,45239,37990,3552,10801,0,0,0,0,0
Israel,1998,33767,37955,1055,0,0,25,0,0,0
Libya,2013,37375,37913,1,64,0,0,0,0,0
Hungary,1999,35967,37832,3286,4349,0,181,0,0,0
New Zealand,1999,36643,37817,0,0,2793,22917,0,0,39
Serbia and Montenegro,1998,34017,37808,2071,2518,0,12892,0,0,0
Libya,2014,37187,37731,0,88,0,0,0,0,0
Denmark,2001,35571,37729,8774,8199,0,28,1,0,4306
Serbia and Montenegro,2004,34983,37686,6248,5975,0,11121,0,0,0
Pakistan,1990,36577,37660,0,0,0,16925,0,0,0
New Zealand,1998,36579,37612,0,0,2529,25317,0,0,22
Belarus,1992,41044,37595,3405,9909,0,17,0,0,0
Syrian Arab Republic,2006,24150,37453,986,182,0,3945,0,0,0
Greece,1992,34700,37411,362,967,0,2389,0,0,8
Serbia,2008,33964,37376,8802,8875,0,10109,0,0,0
Hungary,2010,39808,37371,4702,9897,0,188,1,0,534
Algeria,2007,34455,37196,273,279,0,226,0,0,0
Hungary,1998,35000,37190,2614,3354,0,155,0,0,0
Bangladesh,2009,34946,37177,0,0,0,417,0,0,0
Serbia and Montenegro,1995,34776,37176,0,0,0,11220,0,0,0
"China, Hong Kong SAR",2004,43879,37129,3087,9837,0,0,0,0,0
United Arab Emirates,1999,35270,37126,0,0,0,0,0,0,0
New Zealand,1997,35992,37109,0,0,2258,23256,0,0,14
Singapore,2004,35338,36810,0,0,0,0,0,0,0
Serbia,2012,33717,36799,5392,5781,0,9914,0,0,0
Iraq,2008,37424,36780,0,2973,0,3485,0,0,0
Denmark,1995,33900,36758,4807,4013,0,30,0,0,1177
Philippines,1997,35277,36715,0,0,7237,6048,0,0,0
Colombia,1991,35194,36661,0,0,0,27485,0,0,0
Denmark,2008,36290,36616,11360,12815,0,26,3,0,6928
Serbia,2007,33132,36550,9192,9106,0,10037,0,0,0
Denmark,1991,32356,36545,5047,3075,0,25,0,0,740
Serbia,2006,32293,36481,9377,8567,0,10965,0,0,0
Serbia,2005,31704,36474,8694,6751,0,12032,0,0,0
New Zealand,1996,35561,36473,0,0,2161,26180,0,0,8
Paraguay,1994,3705,36420,32601,1,0,36396,0,0,0
Hungary,2001,36875,36415,7232,10403,0,186,0,0,1
Denmark,2009,34775,36383,10874,11208,0,19,4,0,6721
Kuwait,2002,31060,36369,0,0,0,0,0,0,0
Denmark,2005,35763,36246,11574,12943,0,23,2,0,6614
Colombia,1990,34995,36166,0,278,0,27523,0,0,0
Hungary,2002,37731,36157,8349,12605,0,194,0,0,1
New Zealand,1995,35250,36062,0,0,2161,27532,0,0,1
Denmark,2000,35092,36053,7752,8417,0,30,1,0,4241
Syrian Arab Republic,2005,22273,36048,844,0,0,4325,0,0,0
Hungary,2011,40176,36019,8021,14664,0,222,1,0,626
"China, Hong Kong SAR",1993,31894,35948,4500,446,0,0,0,0,0
Hungary,2009,38857,35908,5459,10972,0,228,1,0,331
Peru,2010,35215,35890,112,0,0,20042,0,0,1
Hungary,2006,40552,35859,8186,15393,0,186,0,0,43
Serbia and Montenegro,1992,33090,35826,400,0,0,11343,0,0,0
Greece,1991,33400,35815,854,1498,0,3171,0,0,2
Viet Nam,2002,35080,35796,0,0,0,18198,0,0,0
Hungary,2005,39446,35756,9410,15637,0,202,0,0,10
Bulgaria,1992,34234,35610,584,3289,0,2063,0,0,0
Malaysia,1993,34303,35579,104,128,0,4925,0,0,0
Chile,1998,34157,35509,0,0,0,15944,0,0,0
"China, Hong Kong SAR",2003,42895,35506,3008,10397,0,0,0,0,0
Hungary,1997,34584,35397,2261,4410,0,216,0,0,0
Serbia and Montenegro,2003,34361,35366,1786,4576,0,9851,0,0,0
Singapore,2003,33931,35331,0,0,0,0,0,0,0
Denmark,2011,34797,35229,10374,11694,0,17,15,0,9774
Algeria,2006,32766,35226,300,382,0,218,0,0,0
Hungary,2000,35699,35191,6083,9523,0,178,0,0,0
Serbia and Montenegro,2001,35274,35130,1630,5670,0,12450,0,0,0
Israel,1997,31165,35100,1170,0,0,25,0,0,0
Hungary,1996,34515,35090,1276,3473,0,207,0,0,0
"China, Hong Kong SAR",1992,30113,35076,4963,0,0,0,0,0,0
Colombia,1992,34575,35064,0,348,0,22326,0,0,0
Serbia and Montenegro,2002,35607,35060,2300,6780,0,11750,0,0,0
Belarus,2008,34619,35048,5245,7085,0,39,0,0,1
Greece,1990,32532,35003,619,1330,0,1997,0,0,2
Belarus,2010,35331,34895,5067,7767,0,45,0,0,1
New Zealand,1994,34027,34851,0,0,2227,25834,0,0,1
Qatar,2012,32351,34787,0,0,0,0,0,0,0
Denmark,2013,34083,34760,10377,11459,0,13,518,0,11123
Belarus,2014,35836,34735,4488,7806,0,121,1,0,11
Qatar,2013,32224,34668,0,0,0,0,0,0,0
Singapore,2002,33364,34664,0,0,0,0,0,0,0
Hungary,2012,40318,34635,9003,16970,0,213,8,0,770
Serbia and Montenegro,1994,32128,34528,0,0,0,11127,0,0,0
Portugal,1996,34159,34521,3005,4116,49,14857,1,0,21
"China, Hong Kong SAR",2002,42319,34312,2175,10182,0,0,0,0,0
Kuwait,2001,29273,34299,0,0,0,0,0,0,0
New Zealand,1993,33359,34275,0,0,2382,23491,0,0,1
Libya,2012,33228,34275,14,61,0,0,0,0,0
Bangladesh,2008,32165,34218,0,0,0,950,0,0,0
Portugal,1997,35656,34208,2477,5376,51,13175,1,0,38
Hungary,2003,38317,34145,7138,14077,0,171,0,0,4
Serbia and Montenegro,2000,33419,34140,1860,4870,0,12000,0,0,0
Serbia,2014,32564,34060,5445,7008,0,11617,6,0,0
Hungary,1995,33669,34018,805,3210,0,163,0,0,0
Denmark,1993,33144,33974,5094,6279,0,28,0,0,1034
Iraq,2002,33863,33863,0,0,0,649,0,0,0
Hungary,2004,38730,33708,3056,10524,0,205,0,0,6
Hungary,1994,32993,33515,920,2954,0,161,0,0,0
Serbia and Montenegro,1993,31063,33457,0,0,0,10115,0,0,0
Serbia and Montenegro,1999,31520,33410,1420,3290,0,13720,0,0,0
United Arab Emirates,1998,31722,33392,0,0,0,0,0,0,0
Belarus,1993,36602,33369,3605,9610,0,19,0,0,0
Philippines,1996,32012,33352,0,0,6534,7046,0,0,0
Chile,1997,32351,33297,0,0,0,18946,0,0,0
New Zealand,1991,32410,33296,0,0,2287,22892,0,0,0
Portugal,1995,32621,33265,1741,2655,42,8454,1,0,16
Singapore,2001,31584,33089,0,0,0,0,0,0,0
Peru,2009,32367,32929,63,0,0,19491,0,0,1
Hungary,1993,32828,32915,1619,4093,0,166,0,0,0
New Zealand,1992,31932,32894,0,0,2259,21091,0,0,1
Algeria,2005,31129,32875,275,248,0,555,0,0,0
Iraq,1999,32678,32678,0,0,0,605,0,0,0
Libya,2010,31437,32558,152,70,0,0,0,0,0
Israel,1996,29870,32531,979,0,0,24,0,0,0
Peru,2008,31895,32430,0,0,0,19040,0,0,1
"China, Hong Kong SAR",2001,41203,32429,1581,10355,0,0,0,0,0
Slovakia,2002,25543,32427,10867,6710,0,5483,0,0,0
Kuwait,2000,27463,32323,0,0,0,0,0,0,0
Iraq,2004,33613,32295,0,1318,0,493,0,0,0
New Zealand,1990,31459,32265,0,0,2131,23183,0,0,0
Iraq,2001,32251,32251,0,0,0,618,0,0,0
Belarus,2011,35565,32200,3704,9289,0,42,0,0,1
Denmark,2014,33543,32183,9847,12702,0,15,596,0,13079
Syrian Arab Republic,2004,20534,32137,539,0,0,4175,0,0,0
Iraq,2007,32544,32104,0,2196,0,4548,0,0,0
Slovakia,2001,25671,32046,9743,6065,0,5117,0,0,0
Iraq,1998,32045,32045,0,0,0,593,0,0,0
Iraq,2000,31900,31900,0,0,0,611,0,0,0
"China, Hong Kong SAR",1991,28828,31889,3061,0,0,0,0,0,0
Malaysia,1992,30671,31887,175,159,0,4357,0,0,0
Belarus,2007,33923,31829,5062,9406,0,35,0,0,1
Belarus,2006,33796,31811,5789,10149,0,35,0,0,1
Hungary,1992,32586,31685,1521,4988,0,158,0,0,0
Singapore,2000,30284,31665,0,0,0,0,0,0,0
Kuwait,1999,26962,31576,0,0,0,0,0,0,0
Belarus,2013,35688,31507,3012,9382,0,138,0,0,8
Slovakia,2005,25868,31455,11270,8005,0,4741,0,0,6
Paraguay,1993,3231,31454,28121,1,0,31411,0,0,0
Slovakia,2006,26329,31418,10921,8590,0,4566,0,0,6
"China, Hong Kong SAR",1998,38564,31414,610,7760,0,0,0,0,0
Belarus,1994,32702,31397,3944,7764,0,19,0,0,0
Portugal,1994,31017,31382,1369,2257,33,10702,1,0,17
"China, Hong Kong SAR",2000,40351,31329,1181,10203,0,0,0,0,0
Algeria,2004,29587,31250,197,211,0,251,0,0,0
Belarus,2004,32141,31210,4723,7975,0,33,0,0,1
Portugal,1993,29824,31206,1902,2077,4,8737,1,0,11
Syrian Arab Republic,2012,27624,31188,0,0,0,3237,0,0,0
Slovakia,2003,26196,31178,10878,8623,0,3672,0,0,2
Slovakia,2000,24648,31158,8647,5951,0,4975,0,0,0
Bangladesh,2007,29268,31011,0,0,0,749,0,0,0
Belarus,2005,32712,30961,5055,9091,0,36,0,0,1
Philippines,1995,29649,30875,0,0,6135,6247,0,0,0
Belarus,2012,36197,30799,2797,10398,0,70,0,0,6
Denmark,1992,32571,30738,4901,8647,0,28,0,0,915
Chile,1996,29873,30733,0,0,0,16841,0,0,0
Qatar,2011,28383,30730,0,0,0,0,0,0,0
Iraq,2006,31943,30703,0,2688,0,4970,0,0,0
Denmark,2012,34223,30701,10706,15920,0,17,104,0,10270
Viet Nam,2001,29988,30608,0,0,0,18210,0,0,0
Slovakia,2004,26121,30567,10593,8731,0,4207,0,0,6
Israel,1995,27942,30425,914,0,0,25,0,0,0
Nigeria,2014,29520,30390,0,0,0,5346,0,0,0
Belarus,2009,32717,30376,3933,8404,0,44,0,0,1
Libya,2009,29394,30373,124,95,0,0,0,0,0
Syrian Arab Republic,2003,19369,30366,249,0,0,2758,0,0,0
Hungary,2013,39922,30291,4758,16635,0,213,25,0,718
Singapore,1999,28928,30259,0,0,0,0,0,0,0
Ireland,2008,28846,30239,303,753,0,1300,0,0,2410
Portugal,1992,29439,30088,1197,2538,5,5074,1,0,4
Kuwait,1998,25753,29984,0,0,0,0,0,0,0
Hungary,1991,34816,29963,1059,8410,0,194,0,0,0
Peru,2007,29438,29931,0,0,0,19549,0,0,1
Bangladesh,2006,28918,29879,0,0,0,1389,0,0,0
Portugal,1991,28560,29872,1620,1712,5,9176,1,0,1
Algeria,2003,27367,29571,212,223,0,265,0,0,0
Iraq,1997,29561,29561,0,0,0,581,0,0,0
"China, Hong Kong SAR",1999,38564,29496,633,9701,0,0,0,0,0
Paraguay,1991,2481,29396,26803,0,0,29373,0,0,0
Hungary,2014,40517,29371,5689,19079,0,302,56,0,657
Iraq,2005,27580,29297,0,0,0,4964,0,0,0
Iraq,1990,29160,29160,0,0,0,610,0,0,0
Morocco,2014,34086,29142,128,6138,0,2033,0,0,1924
Oman,2014,28343,29128,0,0,0,0,0,0,0
Iraq,1996,29050,29050,0,0,0,570,0,0,0
Singapore,1998,27747,29022,0,0,0,0,0,0,0
Iraq,1995,29000,29000,0,0,0,570,0,0,0
Slovakia,2008,26881,28962,8891,9412,0,4241,0,0,7
"China, Hong Kong SAR",1990,27163,28960,1797,0,0,0,0,0,0
"China, Hong Kong SAR",1997,36260,28943,559,7876,0,0,0,0,0
Nigeria,2013,28056,28883,0,0,0,5326,0,0,0
Slovakia,2013,26799,28832,10628,10719,0,5166,588,0,6
Nigeria,2012,27884,28706,0,0,0,5659,0,0,0
Ireland,2010,27623,28685,290,760,0,776,0,0,2815
Philippines,1994,27542,28674,0,0,6320,5877,0,0,0
Libya,2008,27828,28666,117,69,0,0,0,0,0
Slovakia,2012,26154,28664,13079,13472,0,4439,424,0,6
Slovakia,2011,26308,28656,10500,11227,0,4146,397,0,5
Portugal,1990,27112,28501,1696,1733,4,9303,1,0,1
United Arab Emirates,1997,25504,28464,0,0,0,0,0,0,0
"China, Hong Kong SAR",1996,35687,28440,531,7778,0,0,0,0,0
Hungary,1990,37046,28436,2152,13299,0,178,0,0,0
Israel,1994,26161,28424,735,0,0,23,0,0,0
Slovakia,1999,25632,28407,3180,3738,0,4776,0,0,0
Iraq,2003,28340,28340,0,0,0,433,0,0,0
Malaysia,1991,27205,28335,151,128,0,4444,0,0,0
Ireland,2009,27313,28313,175,939,0,1257,0,0,2955
Ireland,2007,27718,28196,82,1412,0,1016,0,0,1958
Qatar,2010,26385,28144,0,0,0,0,0,0,0
Slovakia,2007,27257,28056,11855,13580,0,4615,0,0,8
Syrian Arab Republic,2002,19060,28040,692,0,0,2451,0,0,0
Chile,1995,27408,28027,0,0,0,18414,0,0,0
Iraq,1994,28000,28000,0,0,0,560,0,0,0
Morocco,2013,32566,27929,151,5551,0,2785,0,0,1481
"China, Hong Kong SAR",1995,33979,27916,1483,7546,0,0,0,0,0
Slovakia,2010,25933,27858,6293,7334,0,5649,17,0,6
"Korea, Dem.Ppl's.Rep.",1990,26147,27700,0,0,0,15600,0,0,0
Algeria,2002,25542,27647,259,237,0,57,0,0,0
